TLIST(Q1),Quarter,Type of Offence,VALUE
20111,2011Q1,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",2397
20111,2011Q1,Driving/in charge of a vehicle while over legal alcohol limit (0412),2273
20111,2011Q1,Driving/in charge of a vehicle under the influence of drugs (0413),124
20111,2011Q1,Dangerous/careless driving and motorway offences (0414),1223
20111,2011Q1,Speeding (0415),10336
20111,2011Q1,Endangerment with potential for serious harm/death (0421),16
20111,2011Q1,"Abandoning a child, child neglect and cruelty (0422)",67
20111,2011Q1,Unseaworthy/dangerous use of boat or ship (0423),1
20111,2011Q1,False alarm/interference with aircraft or air transport facilities (0424),0
20111,2011Q1,Endangering traffic offences (0425),55
20111,2011Q1,Kidnapping and related offences (05),28
20111,2011Q1,False imprisonment (0511),18
20111,2011Q1,Abduction of person under 16 years of age (0512),3
20111,2011Q1,Human trafficking offences (0513),7
20111,2011Q1,"Robbery, extortion and hijacking offences (06)",808
20111,2011Q1,Robbery of an establishment or institution (0611),301
20111,2011Q1,Robbery of cash or goods in transit (0612),10
20111,2011Q1,Robbery from the person (0613),455
20111,2011Q1,Blackmail or extortion (0621),8
20111,2011Q1,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",34
20111,2011Q1,Burglary and related offences (07),6858
20111,2011Q1,Aggravated burglary (0711),97
20111,2011Q1,Burglary (not aggravated) (0712),6618
20111,2011Q1,"Possession of an article (with intent to burgle, steal, demand) (0713)",143
20111,2011Q1,Theft and related offences (08),19479
20111,2011Q1,Theft/taking of vehicle and related offences (081),3064
20111,2011Q1,Theft from person (0821),842
20111,2011Q1,Theft from shop (0822),4664
20111,2011Q1,"Other thefts, handling stolen property (084)",10909
20111,2011Q1,"Fraud, deception and related offences (09)",1571
20111,2011Q1,Controlled drug offences (10),4200
20111,2011Q1,Importation of drugs (1011),11
20111,2011Q1,Cultivation or manufacture of drugs (1012),102
20111,2011Q1,Possession of drugs for sale or supply (1021),994
20111,2011Q1,Possession of drugs for personal use (1022),2975
20111,2011Q1,Other drug offences (103),118
20111,2011Q1,Weapons and explosives offences (11),882
20111,2011Q1,"Explosives, chemical weapons offences (111)",20
20111,2011Q1,Discharging a firearm (1121),53
20111,2011Q1,Possession of a firearm (1122),87
20111,2011Q1,Offensive weapons offences (n.e.c.) (113),710
20111,2011Q1,Fireworks offences (114),12
20111,2011Q1,Damage to property and to the environment  offences (12),9390
20111,2011Q1,Arson (1211),553
20111,2011Q1,Criminal damage (not arson) (1212),8765
20111,2011Q1,Litter offences (1221),72
20111,2011Q1,Public order and other social code offences (13),12788
20111,2011Q1,Disorderly conduct (131),11070
20111,2011Q1,Trespass offences (132),900
20111,2011Q1,Liquor licensing offences (133),608
20111,2011Q1,Prostitution offences (134),72
20111,2011Q1,"Regulated betting/money, collection/trading offences (135)",69
20111,2011Q1,Social code offences (n.e.c.) (136),69
20111,2011Q1,Road and traffic offences (14),32246
20111,2011Q1,"Driving licence-failure to have, produce, etc. (1411)",1262
20111,2011Q1,"Insurance-failure to have, produce, display, etc. (1412)",3705
20111,2011Q1,Vehicle tax/registration offences (142),6275
20111,2011Q1,Roadworthiness/regulatory offences (143),832
20111,2011Q1,Obstruction under Road Traffic Acts (1432),35
20111,2011Q1,Other road offences (1433),17495
20111,2011Q1,Road transport - carriage of goods offences (1441),1972
20111,2011Q1,Public service vehicle offences (1442),667
20111,2011Q1,Light rail offences (Luas) (1443),3
20111,2011Q1,"Offences against government, justice procedures and organisation of crime (15)",2733
20111,2011Q1,Offences against government and its agents (151),123
20111,2011Q1,Organisation of crime and conspiracy to commit crime (152),4
20111,2011Q1,Perverting the course of justice (153),27
20111,2011Q1,"Offences while in custody, breach of court orders (157)",2579
20111,2011Q1,Offences not elsewhere classified (16),980
20112,2011Q2,Homicide & related offences (01),19
20112,2011Q2,Murder (0111),14
20112,2011Q2,Manslaughter (0112),1
20112,2011Q2,Infanticide (0113),0
20112,2011Q2,Dangerous driving leading to death (012),4
20112,2011Q2,Sexual offences (02),451
20112,2011Q2,Rape of a male or female (0211),105
20112,2011Q2,Defilement of a boy or girl less than 17 years old (0212),42
20112,2011Q2,Sexual offence involving mentally impaired person (0213),6
20112,2011Q2,Aggravated sexual assault (0214),2
20112,2011Q2,Sexual assault (not aggravated) (0215),252
20112,2011Q2,Other sexual offences (022),44
20112,2011Q2,"Attempts/threats to murder, assaults, harassments and related offences (03)",4342
20112,2011Q2,Murder-attempt (0311),3
20112,2011Q2,Threat to kill or cause serious harm  (0313 ),104
20112,2011Q2,Harassment and related offences (033),486
20112,2011Q2,"Assault causing harm, poisoning (034)",881
20112,2011Q2,Other assault (035),2868
20112,2011Q2,Dangerous or negligent acts (04),13565
20112,2011Q2,Dangerous driving causing serious bodily harm (0411),3
20112,2011Q2,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",2238
20112,2011Q2,Driving/in charge of a vehicle while over legal alcohol limit (0412),2117
20112,2011Q2,Driving/in charge of a vehicle under the influence of drugs (0413),121
20112,2011Q2,Dangerous/careless driving and motorway offences (0414),1219
20112,2011Q2,Speeding (0415),10001
20112,2011Q2,Endangerment with potential for serious harm/death (0421),29
20112,2011Q2,"Abandoning a child, child neglect and cruelty (0422)",35
20112,2011Q2,Unseaworthy/dangerous use of boat or ship (0423),2
20112,2011Q2,False alarm/interference with aircraft or air transport facilities (0424),0
20112,2011Q2,Endangering traffic offences (0425),38
20112,2011Q2,Kidnapping and related offences (05),23
20112,2011Q2,False imprisonment (0511),17
20112,2011Q2,Abduction of person under 16 years of age (0512),3
20112,2011Q2,Human trafficking offences (0513),3
20112,2011Q2,"Robbery, extortion and hijacking offences (06)",662
20112,2011Q2,Robbery of an establishment or institution (0611),225
20112,2011Q2,Robbery of cash or goods in transit (0612),11
20112,2011Q2,Robbery from the person (0613),397
20112,2011Q2,Blackmail or extortion (0621),4
20112,2011Q2,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",25
20112,2011Q2,Burglary and related offences (07),6361
20112,2011Q2,Aggravated burglary (0711),81
20112,2011Q2,Burglary (not aggravated) (0712),6128
20112,2011Q2,"Possession of an article (with intent to burgle, steal, demand) (0713)",152
20112,2011Q2,Theft and related offences (08),18977
20112,2011Q2,Theft/taking of vehicle and related offences (081),2620
20112,2011Q2,Theft from person (0821),747
20112,2011Q2,Theft from shop (0822),4888
20112,2011Q2,"Other thefts, handling stolen property (084)",10722
20112,2011Q2,"Fraud, deception and related offences (09)",1242
20112,2011Q2,Controlled drug offences (10),4469
20112,2011Q2,Importation of drugs (1011),11
20112,2011Q2,Cultivation or manufacture of drugs (1012),151
20112,2011Q2,Possession of drugs for sale or supply (1021),920
20112,2011Q2,Possession of drugs for personal use (1022),3242
20112,2011Q2,Other drug offences (103),145
20112,2011Q2,Weapons and explosives offences (11),787
20112,2011Q2,"Explosives, chemical weapons offences (111)",27
20112,2011Q2,Discharging a firearm (1121),36
20112,2011Q2,Possession of a firearm (1122),71
20112,2011Q2,Offensive weapons offences (n.e.c.) (113),644
20112,2011Q2,Fireworks offences (114),9
20112,2011Q2,Damage to property and to the environment  offences (12),8718
20112,2011Q2,Arson (1211),570
20112,2011Q2,Criminal damage (not arson) (1212),8087
20112,2011Q2,Litter offences (1221),61
20112,2011Q2,Public order and other social code offences (13),12044
20112,2011Q2,Disorderly conduct (131),10310
20112,2011Q2,Trespass offences (132),960
20112,2011Q2,Liquor licensing offences (133),583
20112,2011Q2,Prostitution offences (134),44
20112,2011Q2,"Regulated betting/money, collection/trading offences (135)",62
20112,2011Q2,Social code offences (n.e.c.) (136),85
20112,2011Q2,Road and traffic offences (14),28822
20112,2011Q2,"Driving licence-failure to have, produce, etc. (1411)",1236
20112,2011Q2,"Insurance-failure to have, produce, display, etc. (1412)",3491
20112,2011Q2,Vehicle tax/registration offences (142),5529
20112,2011Q2,Roadworthiness/regulatory offences (143),791
20112,2011Q2,Obstruction under Road Traffic Acts (1432),27
20112,2011Q2,Other road offences (1433),15819
20112,2011Q2,Road transport - carriage of goods offences (1441),1415
20112,2011Q2,Public service vehicle offences (1442),514
20112,2011Q2,Light rail offences (Luas) (1443),0
20112,2011Q2,"Offences against government, justice procedures and organisation of crime (15)",2512
20112,2011Q2,Offences against government and its agents (151),115
20112,2011Q2,Organisation of crime and conspiracy to commit crime (152),4
20112,2011Q2,Perverting the course of justice (153),18
20112,2011Q2,"Offences while in custody, breach of court orders (157)",2375
20112,2011Q2,Offences not elsewhere classified (16),730
20113,2011Q3,Homicide & related offences (01),21
20113,2011Q3,Murder (0111),11
20113,2011Q3,Manslaughter (0112),2
20113,2011Q3,Infanticide (0113),0
20113,2011Q3,Dangerous driving leading to death (012),8
20113,2011Q3,Sexual offences (02),532
20113,2011Q3,Rape of a male or female (0211),115
20113,2011Q3,Defilement of a boy or girl less than 17 years old (0212),27
20113,2011Q3,Sexual offence involving mentally impaired person (0213),3
20113,2011Q3,Aggravated sexual assault (0214),1
20113,2011Q3,Sexual assault (not aggravated) (0215),353
20113,2011Q3,Other sexual offences (022),33
20113,2011Q3,"Attempts/threats to murder, assaults, harassments and related offences (03)",4356
20113,2011Q3,Murder-attempt (0311),1
20113,2011Q3,Threat to kill or cause serious harm  (0313 ),88
20113,2011Q3,Harassment and related offences (033),511
20113,2011Q3,"Assault causing harm, poisoning (034)",902
20113,2011Q3,Other assault (035),2854
20113,2011Q3,Dangerous or negligent acts (04),13725
20113,2011Q3,Dangerous driving causing serious bodily harm (0411),5
20113,2011Q3,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",2309
20113,2011Q3,Driving/in charge of a vehicle while over legal alcohol limit (0412),2209
20113,2011Q3,Driving/in charge of a vehicle under the influence of drugs (0413),100
20113,2011Q3,Dangerous/careless driving and motorway offences (0414),1323
20113,2011Q3,Speeding (0415),9951
20113,2011Q3,Endangerment with potential for serious harm/death (0421),33
20113,2011Q3,"Abandoning a child, child neglect and cruelty (0422)",44
20113,2011Q3,Unseaworthy/dangerous use of boat or ship (0423),0
20113,2011Q3,False alarm/interference with aircraft or air transport facilities (0424),4
20113,2011Q3,Endangering traffic offences (0425),56
20113,2011Q3,Kidnapping and related offences (05),32
20113,2011Q3,False imprisonment (0511),21
20113,2011Q3,Abduction of person under 16 years of age (0512),5
20113,2011Q3,Human trafficking offences (0513),6
20113,2011Q3,"Robbery, extortion and hijacking offences (06)",715
20113,2011Q3,Robbery of an establishment or institution (0611),245
20113,2011Q3,Robbery of cash or goods in transit (0612),10
20113,2011Q3,Robbery from the person (0613),439
20113,2011Q3,Blackmail or extortion (0621),3
20113,2011Q3,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",18
20113,2011Q3,Burglary and related offences (07),6787
20113,2011Q3,Aggravated burglary (0711),74
20113,2011Q3,Burglary (not aggravated) (0712),6553
20113,2011Q3,"Possession of an article (with intent to burgle, steal, demand) (0713)",160
20113,2011Q3,Theft and related offences (08),19635
20113,2011Q3,Theft/taking of vehicle and related offences (081),2509
20113,2011Q3,Theft from person (0821),1001
20113,2011Q3,Theft from shop (0822),5242
20113,2011Q3,"Other thefts, handling stolen property (084)",10883
20113,2011Q3,"Fraud, deception and related offences (09)",1360
20113,2011Q3,Controlled drug offences (10),4926
20113,2011Q3,Importation of drugs (1011),9
20113,2011Q3,Cultivation or manufacture of drugs (1012),188
20113,2011Q3,Possession of drugs for sale or supply (1021),992
20113,2011Q3,Possession of drugs for personal use (1022),3586
20113,2011Q3,Other drug offences (103),151
20113,2011Q3,Weapons and explosives offences (11),851
20113,2011Q3,"Explosives, chemical weapons offences (111)",14
20113,2011Q3,Discharging a firearm (1121),39
20113,2011Q3,Possession of a firearm (1122),60
20113,2011Q3,Offensive weapons offences (n.e.c.) (113),691
20113,2011Q3,Fireworks offences (114),47
20113,2011Q3,Damage to property and to the environment  offences (12),8428
20113,2011Q3,Arson (1211),589
20113,2011Q3,Criminal damage (not arson) (1212),7784
20113,2011Q3,Litter offences (1221),55
20113,2011Q3,Public order and other social code offences (13),12638
20113,2011Q3,Disorderly conduct (131),10892
20113,2011Q3,Trespass offences (132),952
20113,2011Q3,Liquor licensing offences (133),585
20113,2011Q3,Prostitution offences (134),43
20113,2011Q3,"Regulated betting/money, collection/trading offences (135)",82
20113,2011Q3,Social code offences (n.e.c.) (136),84
20113,2011Q3,Road and traffic offences (14),29124
20113,2011Q3,"Driving licence-failure to have, produce, etc. (1411)",1237
20113,2011Q3,"Insurance-failure to have, produce, display, etc. (1412)",3401
20113,2011Q3,Vehicle tax/registration offences (142),5448
20113,2011Q3,Roadworthiness/regulatory offences (143),674
20113,2011Q3,Obstruction under Road Traffic Acts (1432),35
20113,2011Q3,Other road offences (1433),15999
20113,2011Q3,Road transport - carriage of goods offences (1441),1682
20113,2011Q3,Public service vehicle offences (1442),646
20113,2011Q3,Light rail offences (Luas) (1443),2
20113,2011Q3,"Offences against government, justice procedures and organisation of crime (15)",2369
20113,2011Q3,Offences against government and its agents (151),122
20113,2011Q3,Organisation of crime and conspiracy to commit crime (152),1
20113,2011Q3,Perverting the course of justice (153),21
20113,2011Q3,"Offences while in custody, breach of court orders (157)",2225
20113,2011Q3,Offences not elsewhere classified (16),615
20114,2011Q4,Homicide & related offences (01),18
20114,2011Q4,Murder (0111),6
20114,2011Q4,Manslaughter (0112),4
20114,2011Q4,Infanticide (0113),0
20114,2011Q4,Dangerous driving leading to death (012),8
20114,2011Q4,Sexual offences (02),416
20114,2011Q4,Rape of a male or female (0211),96
20114,2011Q4,Defilement of a boy or girl less than 17 years old (0212),29
20114,2011Q4,Sexual offence involving mentally impaired person (0213),3
20114,2011Q4,Aggravated sexual assault (0214),4
