TLIST(Q1),Quarter,Type of Offence,VALUE
20034,2003Q4,"Explosives, chemical weapons offences (111)",37
20034,2003Q4,Discharging a firearm (1121),55
20034,2003Q4,Possession of a firearm (1122),90
20034,2003Q4,Offensive weapons offences (n.e.c.) (113),285
20034,2003Q4,Fireworks offences (114),0
20034,2003Q4,Damage to property and to the environment  offences (12),8510
20034,2003Q4,Arson (1211),369
20034,2003Q4,Criminal damage (not arson) (1212),8119
20034,2003Q4,Litter offences (1221),22
20034,2003Q4,Public order and other social code offences (13),12336
20034,2003Q4,Disorderly conduct (131),9931
20034,2003Q4,Trespass offences (132),332
20034,2003Q4,Liquor licensing offences (133),1624
20034,2003Q4,Prostitution offences (134),33
20034,2003Q4,"Regulated betting/money, collection/trading offences (135)",108
20034,2003Q4,Social code offences (n.e.c.) (136),308
20034,2003Q4,Road and traffic offences (14),12654
20034,2003Q4,"Driving licence-failure to have, produce, etc. (1411)",334
20034,2003Q4,"Insurance-failure to have, produce, display, etc. (1412)",3810
20034,2003Q4,Vehicle tax/registration offences (142),1183
20034,2003Q4,Roadworthiness/regulatory offences (143),309
20034,2003Q4,Obstruction under Road Traffic Acts (1432),60
20034,2003Q4,Other road offences (1433),6682
20034,2003Q4,Road transport - carriage of goods offences (1441),192
20034,2003Q4,Public service vehicle offences (1442),84
20034,2003Q4,Light rail offences (Luas) (1443),0
20034,2003Q4,"Offences against government, justice procedures and organisation of crime (15)",1722
20034,2003Q4,Offences against government and its agents (151),44
20034,2003Q4,Organisation of crime and conspiracy to commit crime (152),2
20034,2003Q4,Perverting the course of justice (153),60
20034,2003Q4,"Offences while in custody, breach of court orders (157)",1616
20034,2003Q4,Offences not elsewhere classified (16),423
20041,2004Q1,Homicide & related offences (01),28
20041,2004Q1,Murder (0111),6
20041,2004Q1,Manslaughter (0112),5
20041,2004Q1,Infanticide (0113),0
20041,2004Q1,Dangerous driving leading to death (012),17
20041,2004Q1,Sexual offences (02),535
20041,2004Q1,Rape of a male or female (0211),130
20041,2004Q1,Defilement of a boy or girl less than 17 years old (0212),39
20041,2004Q1,Sexual offence involving mentally impaired person (0213),6
20041,2004Q1,Aggravated sexual assault (0214),5
20041,2004Q1,Sexual assault (not aggravated) (0215),332
20041,2004Q1,Other sexual offences (022),23
20041,2004Q1,"Attempts/threats to murder, assaults, harassments and related offences (03)",3467
20041,2004Q1,Murder-attempt (0311),0
20041,2004Q1,Threat to kill or cause serious harm  (0313 ),10
20041,2004Q1,Harassment and related offences (033),297
20041,2004Q1,"Assault causing harm, poisoning (034)",1074
20041,2004Q1,Other assault (035),2086
20041,2004Q1,Dangerous or negligent acts (04),4891
20041,2004Q1,Dangerous driving causing serious bodily harm (0411),13
20041,2004Q1,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",2692
20041,2004Q1,Driving/in charge of a vehicle while over legal alcohol limit (0412),2676
20041,2004Q1,Driving/in charge of a vehicle under the influence of drugs (0413),16
20041,2004Q1,Dangerous/careless driving and motorway offences (0414),1140
20041,2004Q1,Speeding (0415),946
20041,2004Q1,Endangerment with potential for serious harm/death (0421),21
20041,2004Q1,"Abandoning a child, child neglect and cruelty (0422)",41
20041,2004Q1,Unseaworthy/dangerous use of boat or ship (0423),0
20041,2004Q1,False alarm/interference with aircraft or air transport facilities (0424),5
20041,2004Q1,Endangering traffic offences (0425),33
20041,2004Q1,Kidnapping and related offences (05),24
20041,2004Q1,False imprisonment (0511),17
20041,2004Q1,Abduction of person under 16 years of age (0512),7
20041,2004Q1,Human trafficking offences (0513),0
20041,2004Q1,"Robbery, extortion and hijacking offences (06)",774
20041,2004Q1,Robbery of an establishment or institution (0611),282
20041,2004Q1,Robbery of cash or goods in transit (0612),22
20041,2004Q1,Robbery from the person (0613),442
20041,2004Q1,Blackmail or extortion (0621),6
20041,2004Q1,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",22
20041,2004Q1,Burglary and related offences (07),7015
20041,2004Q1,Aggravated burglary (0711),80
20041,2004Q1,Burglary (not aggravated) (0712),6875
20041,2004Q1,"Possession of an article (with intent to burgle, steal, demand) (0713)",60
20041,2004Q1,Theft and related offences (08),18618
20041,2004Q1,Theft/taking of vehicle and related offences (081),3882
20041,2004Q1,Theft from person (0821),1559
20041,2004Q1,Theft from shop (0822),3862
20041,2004Q1,"Other thefts, handling stolen property (084)",9315
20041,2004Q1,"Fraud, deception and related offences (09)",981
20041,2004Q1,Controlled drug offences (10),2237
20041,2004Q1,Importation of drugs (1011),7
20041,2004Q1,Cultivation or manufacture of drugs (1012),4
20041,2004Q1,Possession of drugs for sale or supply (1021),511
20041,2004Q1,Possession of drugs for personal use (1022),1583
20041,2004Q1,Other drug offences (103),132
20041,2004Q1,Weapons and explosives offences (11),584
20041,2004Q1,"Explosives, chemical weapons offences (111)",2
20041,2004Q1,Discharging a firearm (1121),83
20041,2004Q1,Possession of a firearm (1122),120
20041,2004Q1,Offensive weapons offences (n.e.c.) (113),379
20041,2004Q1,Fireworks offences (114),0
20041,2004Q1,Damage to property and to the environment  offences (12),9753
20041,2004Q1,Arson (1211),358
20041,2004Q1,Criminal damage (not arson) (1212),9357
20041,2004Q1,Litter offences (1221),38
20041,2004Q1,Public order and other social code offences (13),10602
20041,2004Q1,Disorderly conduct (131),8749
20041,2004Q1,Trespass offences (132),320
20041,2004Q1,Liquor licensing offences (133),1249
20041,2004Q1,Prostitution offences (134),59
20041,2004Q1,"Regulated betting/money, collection/trading offences (135)",37
20041,2004Q1,Social code offences (n.e.c.) (136),188
20041,2004Q1,Road and traffic offences (14),11943
20041,2004Q1,"Driving licence-failure to have, produce, etc. (1411)",355
20041,2004Q1,"Insurance-failure to have, produce, display, etc. (1412)",3750
20041,2004Q1,Vehicle tax/registration offences (142),1030
20041,2004Q1,Roadworthiness/regulatory offences (143),257
20041,2004Q1,Obstruction under Road Traffic Acts (1432),47
20041,2004Q1,Other road offences (1433),6210
20041,2004Q1,Road transport - carriage of goods offences (1441),212
20041,2004Q1,Public service vehicle offences (1442),82
20041,2004Q1,Light rail offences (Luas) (1443),0
20041,2004Q1,"Offences against government, justice procedures and organisation of crime (15)",1785
20041,2004Q1,Offences against government and its agents (151),49
20041,2004Q1,Organisation of crime and conspiracy to commit crime (152),7
20041,2004Q1,Perverting the course of justice (153),59
20041,2004Q1,"Offences while in custody, breach of court orders (157)",1670
20041,2004Q1,Offences not elsewhere classified (16),454
20042,2004Q2,Homicide & related offences (01),33
20042,2004Q2,Murder (0111),9
20042,2004Q2,Manslaughter (0112),3
20042,2004Q2,Infanticide (0113),0
20042,2004Q2,Dangerous driving leading to death (012),21
20042,2004Q2,Sexual offences (02),354
20042,2004Q2,Rape of a male or female (0211),99
20042,2004Q2,Defilement of a boy or girl less than 17 years old (0212),35
20042,2004Q2,Sexual offence involving mentally impaired person (0213),6
20042,2004Q2,Aggravated sexual assault (0214),5
20042,2004Q2,Sexual assault (not aggravated) (0215),179
20042,2004Q2,Other sexual offences (022),30
20042,2004Q2,"Attempts/threats to murder, assaults, harassments and related offences (03)",3281
20042,2004Q2,Murder-attempt (0311),0
20042,2004Q2,Threat to kill or cause serious harm  (0313 ),11
20042,2004Q2,Harassment and related offences (033),256
20042,2004Q2,"Assault causing harm, poisoning (034)",928
20042,2004Q2,Other assault (035),2086
20042,2004Q2,Dangerous or negligent acts (04),5644
20042,2004Q2,Dangerous driving causing serious bodily harm (0411),6
20042,2004Q2,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",2873
20042,2004Q2,Driving/in charge of a vehicle while over legal alcohol limit (0412),2849
20042,2004Q2,Driving/in charge of a vehicle under the influence of drugs (0413),24
20042,2004Q2,Dangerous/careless driving and motorway offences (0414),1255
20042,2004Q2,Speeding (0415),1395
20042,2004Q2,Endangerment with potential for serious harm/death (0421),22
